Artist,LeadArtistId
"Zoprano, Manny Montes, Onell Diaz, Eliud L'voices, Micky Medina",1397273
Rod Wave,1009958
"Justin Bieber, Kehlani",3479
Margaret Glaspy,5542
Matt Holubowski,203673
Young Nudy,495560
KHEA,728989
"nothing,nowhere.",663667
Efek Rumah Kaca,316579
Effin,744763
Porter Robinson,3764
The Men,194392
Donna Missal,209014
A$AP Ferg,4016
Brooke Evers,572237
Emerson Leif,525628
Pardison Fontaine,214455
Street Car Named Desire,3541323
Stone Temple Pilots,183
"Carnage, NAZAAR, Murda, Coone",4493
"Gryffin, Maia Wright, Deniz Koyu",5153
Overcoats,5510
A Boogie Wit da Hoodie,195737
Hayley Williams,433603
The Lone Bellow,470127
ODIE,648715
"Mariah Angeliq, Guaynaa",1108209
Emilia,1417101
"Thorisson, Luna Asteri",38893
"Yasei Collective, YEAH BOiii COLE, Jun Miyakawa",646764
Braids,431396
"Ovy On The Drums, Mau y Ricky",1366884
Dropkick Murphys,172
Matt Redman,949
José Feliciano,1325
"Lil Wayne, Adam Levine",1465
"Lil Wayne, Big Sean, Lil Baby",1465
Matthew West,1930
"Diplo, Julia Michaels, Morgan Wallen",1964
"Yo Gotti, Moneybagg Yo",2282
"Yo Gotti, A Boogie Wit da Hoodie",2282
Taylor Swift,2762
Pacha Massive,2875
The Cadillac Three,4057
Rend Collective,4134
"Krewella, Arrested Youth",4182
Krewella,4182
Kid Ink,4233
"Tory Lanez, Fivio Foreign",4234
"DJ Snake, Tchami, Malaa, Mercer, Wax Motif",4310
Madison Beer,4655
"Meghan Trainor, Nicki Minaj",4913
Louis The Child,4985
Tep No,5027
Domino Saints,5763
Filmore,22117
Born Dirty,59027
Born Dirty,59027
Sotomayor,72329
"Yung Beef, Goa",122666
Raveena,177981
Angie Rose,189186
A Boogie Wit da Hoodie,195737
Allan Rayman,206712
Kesha,207242
Kesha,207242
Los Tigres Del Norte,208323
We Are Messengers,209646
"Royce Da 5'9""",209850
Son Little,210983
Son Little,210983
"Phil Good, RAC",212763
Elley Duhé,215318
Gia Woods,217479
Soleima,217817
Caveboy,230673
JYDN,238869
Carly Pearce,299279
tobi lou,307410
"Faruk Orakci, Müge",420423
"Melanie Pfirrman, Pitbull, IAmChino",420504
Frente Cumbiero,471875
Ryan Beatty,477874
Ryan Beatty,477874
Key Glock,491635
Las Áñez,505305
Midnight Kids,514242
"Famba, Eric Lumiere",548797
Famba,548797
"Famba, David Aubrey",548797
lovelytheband,566773
"G.No, Bobby V",586970
Thrive Worship,599959
Alaya,758378
Roy Woods,5301
"Raúl Rodríguez, Jackson Browne",449718
Ángela Aguilar,273085
Roy Tosh,652828
NSG,760621
"Claude VonStroke, Green Velvet, Get Real, Damian Lazarus",2541
"I DO, TRACKDILLA, J.Lauryn",1118315
Landon Cube,600746
"BUNT., Benemy Slope",2870
"Jadakiss, Rick Ross, Emanny",197920
"Gotay ""El Autentiko"", Kevvo",422446
10k.Caash,1206661
Tyla Yaweh,705670
Russ,130214
Lucky Daye,1331649
Destroyer,133977
"Trevor Daniel, Summer Walker",720461
"Chuuwee, Farazi",213244
Chin Injeti,167625
JON VINYL,746571
Aidan Gallagher,1427384
"Q Parker, Deitrick Haddon, Avery Wilson",63565
K. Michelle,3669
ZZ Ward,211856
Ulices Chaidez,613586
Cory Marks,3402448
Martin Thulin,3541191
Thembeka Mnguni,1223384
"Saweetie, GALXARA",808784
Josie Dunne,151995
Juan Carlos Alvarado,92568
NEIL FRANCES,600199
Mali Music,317206
Red Rocks Worship,303157
Kelsi Mayne,759794
"Alil, Chimbala, Flamen Beretta, Elbert La Melodia",1395565
"MEMBA, Levus Alone",213477
"Sodré, Kim Quaresma, DJ Biel do Anil",1124979
Callaz,743910
"Mañas Ru-Fino, Doble Porcion, DeeJohend",788608
"Daniel, Me Estás Matando",871319
Ivy Queen,208107
Mint Julep,485000
Young M.A,5733
"Daddy Yankee, Sech",1802
InSalvation,136299
Jackie,3356696
Loving,333391
Ocie Elliott,784086
Nikki Yanofsky,118229
SonReal,156233
Century Surfers,1766078
"Duumu, MYRNE",530397
"Draze, Robbe",3457625
"DJ Khaled, Lil Blurry",2602
Julian Daniel,858855
"Xie, Reo Cragun",651825
TäBï Yösha,1558272
"David Kawooq, Juanes, Ali Aka Mind, Colectivo Ley De Origen",805247
Nikki Vianna,879479
"Kevin Rolly, AR Paisley",1014869
Charli Adams,1036712
"David & Nicole Binion, Maranda Curtis",1114098
"The Kid LAROI, Lil Tecca",1333786
Bejaflor,1379249
Raissa,1419802
"Ant Saunders, Audrey Mika",1650474
"Love Harder, Amber Van Day, TCTS",1679271
D Smoke,3312013
Frances Quinlan,3336031
GAYLE,3540881
BADDIES ONLY,3541059
Evie Clair,720347
Stefficrown,813198
Rico Nasty,156043
Galantis,4588
Konshens,3453
Alectrona,3410972
UPTOWN BOYBAND,3550101
"Infected Mushroom, Freedom Fighters, Mr. Bill",5694
"Adam Lambert, Nile Rodgers",3458
Galantis,4588
Hinds,5671
Lido Pimienta,87636
Basia Bulat,176519
"Kamaiyah, Trina",207293
Robbie Rivera,209394
Robbie Rivera,209394
Robbie Rivera,209394
Robbie Rivera,209394
"Khalid, Disclosure",209693
"Jay Worthy, Larry June, The Alchemist",434615
"Davo Music, Anyuri, El Prince",3559284
Tasha Angela,1783249
KennyHoopla,1351179
"Sufjan Stevens, Lowell Brams",1813
Kevin Gates,3342
Best Coast,3494
5 Seconds of Summer,4477
Overcoats,5510
H.E.R.,207304
Jacob Latimore,215162
Christian Lalama,541633
Wande Coal,3499
"Jhay Cortez, Anuel AA, J Balvin",731962
Audrey Mika,1391489
Jesh,3549815
Marcos Witt,341953
Sharon Van Etten,3467
Lamb of God,1203
The Chainsmokers,4796
"Lenny Tavárez, Justin Quiles",120581
Victoria Monét,195118
Jutes,316274
Jacaszek,316895
Hayley Williams,433603
"Jay Whiss, Donnie",492027
"Jerreau, Kaine",128488
Jerry & the Bandits,1582977
Crown Lands,784084
Hearts and Bros,1638661
EOB,1787184
Grey Daze,3522339
Green Day,175
Stone Temple Pilots,183
The Used,1417
Avenged Sevenfold,1583
"Classified, Dax, Snak The Ripper",1942
Cosculluela,2388
Five Finger Death Punch,2935
Phantogram,3360
"Justin Bieber, Quavo",3479
"Prince Royce, DaniLeigh",3779
Prince Royce,3779
"Grouplove, DJDS",3802
"Meek Mill, Justin Timberlake",3970
The Cadillac Three,4057
Tory Lanez,4234
X Ambassadors,4543
"PARTYNEXTDOOR, Drake, Bad Bunny",4587
"Galantis, Bali Bandits",4588
"Galantis, flyckt",4588
"Galantis, Hook N Sling, Dotan",4588
"Galantis, John Newman",4588
Sam Hunt,4954
Halsey,5109
Niall Horan,5684
"Keith & Kristyn Getty, Matt Papa",24292
ARMNHMR,31370
"Sexton, Smokepurpp",52636
Whethan,64548
Nada Surf,70818
Joshua Hyslop,87115
Gabylonia,108766
Welshly Arms,128458
Love & The Outcome,128617
"Bethel Music, Brian Johnson, Jenn Johnson",137704
The Crabb Family,146928
Blacc Zacc,163080
Corb Lund,170808
Raveena,177981
"Khruangbin, Leon Bridges",180047
Beach Bunny,189590
"NGHTMRE, SLANDER, Matthew Santos",206452
Amtrac,207172
"Kesha, Big Freedia, Pink Panda",207242
Boston Manor,208661
SAYGRACE,209018
SAYGRACE,209018
Axel Flóvent,209999
Moses Sumney,210053
MILCK,214348
Jeremy Zucker,257641
"Yung Gravy, bbno$, Cuco",271148
Julian Lamadrid,299491
Nancy Amancio,326375
Georgia Ku,432836
The Lone Bellow,470127
GRiZ,4311
SEU Worship,486860
Conor Matthews,815117
Lil Zay Osama,1112423
Willy Winarko,104502
"TrapBabii 400, Lil Gotit",3548578
Single Friend,1134937
Patoranking,5321
"iyla, Method Man",1342365
"Rhyan LaMarr, Jonathan McReynolds, Jack Red",1067540
Amber Liu,744794
"Steve Spiffler, Blu",508223
Olivia O'Brien,95540
Lil Mosey,855069
Anna Sofia,1453674
"Enigma Norteño, Javier Rosas Y Su Artillería Pesada",198844
"Serani, Jenn Morel",3264
Carly Rae Jepsen,3397
"Social Club Misfits, Austin French, Asher Postman",65582
EVAN GIIA,763235
Franco De Vita,1298
"Vineyard Worship, Tina Colón-Williams",506926
"G-Eazy, Tyga, Tory Lanez",4114
Cameron Dallas,5403
sad alex,1408193
Hope Darst,735013
Ian Gott,311632
Todd Dulaney,310169
Reis Belico,520810
"Jory Boy, Alex Rose",207763
"Party Pupils, Gary Go, MAX",213094
Nicki Minaj,3442
Michan,1633912
Jayden Bartels,1124058
Earl Andrade,1693837
Laguna Pai,209621
"Denzel Curry, Kenny Beats",4345
"flor, MisterWives",61681
BENNETT,1021425
"Keenan, Anna Clendening, gnash",1348087
"Jason Ingram, Essential Worship",540742
Maisie Peters,727522
Jon Z,650656
Leanna Crawford,784682
Puss N Boots,545418
"Ana Bárbara, Bronco",331882
JVNA,730888
Phaeleh,3383
Chezidek,2296
"Faraón Bantú, Champeta Man",88521
"Pyura, Fabo",717302
Technicolor Fabrics,148187
Adan Cruz,461782
Ruzto,417922
"Santiago Navas, La Muchacha",401168
Lika Nova,663750
Lucah,152318
Nina Rodriguez,285978
"Dj Bitman, Akapellah",471871
"Latroit, FLOYD WONDER",212755
The World of Birds,1136234
Ryland James,711675
"BAD CHILD, Ryan Chambers",666441
Stuck On Planet Earth,97334
"Jack Trades, Madison Olds",745022
"Fluse, Aaron Fong",3478277
Noah Reid,49574
"Hawksley Workman, Sarah Slean",480727
Andrew Hyatt,210599
Pressa,524968
"Houdini, Burna Bandz",736781
KUURO,206499
Lauren Jauregui,569292
JP Saxe,572217
Billy Raffoul,601705
Col3trane,636717
Vertical Worship,717552
LB SPIFFY,781652
Juan Galeano,803767
Margarita Siempre Viva,803785
William Prince,861189
Tenille Townes,1004724
Switch,1005279
Ryan Langdon,1012981
Lil Tecca,1014878
Lil Tecca,1014878
"Kanyi Mavi, Prof.Ceaz",1035257
"Blueface, DaBaby",1110871
Lil Gotit,1328297
Niño Pueblo,1348181
Haiti Babii,1374500
"Chill Chicos, Megansito el Guapo",1377517
"Justin Rarri, Lil Poppa",1378873
NLE Choppa,1388456
La Banda del Bisonte,1398322
"Pop Smoke, Quavo",1401297
SimxSantana,1643857
"Louly, Omar Varela, Valyumprod",1653698
"T.R.U., Hott LockedN, NLE Choppa",1782657
"D Smoke, Jackie Gouche",3312013
Elyanna,3414431
Cheo,3421806
A is for Arrows,3434031
Chaz Cardigan,3447088
Hammurabi,1727405
Sekaranggi,1399624
"Powfu, beabadoobee",1119813
UMI,774028
New Found Glory,206532
Childish Major,331585
"Melanie Martinez, Tierra Whack",4397
"Delaossa, J.Moods",827463
Eptic,3879
Ingrid Andress,519633
Flo Milli,1435071
The Strokes,1011
Myrkur,200035
Born Ruffians,209942
YoungBoy Never Broke Again,215373
King Princess,884166
Russell Dickerson,4294
Jean Seizure,1022134
"BEAUZ, Linney",164390
"Sabai, Hoang, Claire Ridgely",1471725
Dion Timmer,12431
"El Alfa, Lil Pump, Sech, Myke Towers, Vin Diesel",181977
Alex Newell,189038
"Sikdope, ATRIP",206348
Pedro Capó,206689
"PnB Rock, Pop Smoke",132691
Charlie Zane,706802
Karen Lizarazo,1014583
Pop Smoke,1401297
Alexander 23,1422356
Boys Noize,2292
Asking Alexandria,3534
"Halsey, Tiësto",5109
Billie Eilish,5596
Knxwledge,76541
Violent Soho,154430
Mau y Ricky,190507
Shallou,209303
"Yung Pinch, Landon Cube",215374
Trupa Trupa,224549
"Sandhy Sondoro, Lala Karmela",312879
Alec Benjamin,405139
Bulova,431530
Ozuna,113381
Sofia Reyes,50113
Noriel,276203
Yordano,131206
"DreamDoll, G-Eazy, Rahky",643844
Cam,5229
William Elvin,1384246
"PlayerDaking, Hugo Baptista",1498164
Crankdat,469963
Cazzu,668307
Calboy,839914
partywithray,1451553
partywithray,1451553
Chaz Cardigan,3447088
"Paul Baloche, Chris Brown",1424
Matthew West,1930
"John Legend, David Guetta",2053
"Boys Noize, Rico Nasty",2292
Luke Bryan,3118
Ace Hood,3178
"Justin Bieber, Post Malone, Clever",3479
"Justin Bieber, Travis Scott",3479
Justin Bieber,3479
"Jesus Culture, Kim Walker-Smith",3533
Nathaniel Rateliff,3791
COIN,4542
Madison Beer,4655
flora cash,4803
"Different Heaven, Lost Boy",4986
EDEN,5576
Micah Tyler,5612
"KREAM, Black Caviar",19723
"Keith & Kristyn Getty, Matt Boswell, Matt Papa",24292
Sotomayor,72329
"Johan Lenox, Landon Cube",89903
Sonyk El Dragón,108683
